,학정번호,강의명/교수명,별점,final_성적,final_교수,final_로드,final_강의력,족보여부,강의자료질
44,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,4.0,1.0,0.3,0.0,0.15,0.0,0.5
45,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,4.0,1.0,0.5,0.0,0.5,0.0,0.5
46,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,2.0,0.3,0.5,0.0,0.5,0.0,0.5
47,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,3.0,0.3,0.5,0.0,0.5,0.0,0.5
48,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,5.0,1.0,0.5,0.0,0.5,0.0,0.5
49,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,3.0,1.0,1.0,0.7,0.85,0.0,0.5
50,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,5.0,1.0,1.0,0.7,0.85,0.0,0.5
51,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,4.0,1.0,0.5,0.0,0.5,0.0,0.5
52,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,4.0,0.3,0.5,0.0,0.5,0.0,0.5
53,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,5.0,1.0,0.5,0.0,0.5,0.0,0.5
54,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,3.0,1.0,0.5,0.0,0.5,0.0,0.5
55,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,5.0,0.3,0.5,0.0,0.5,0.0,0.5
56,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,2.0,1.0,0.5,0.7,0.5,0.0,0.5
57,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,5.0,1.0,1.0,0.0,0.85,0.0,0.5
58,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,5.0,1.0,0.5,0.0,0.5,0.0,0.5
59,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,5.0,1.0,0.5,0.7,0.5,0.0,0.5
60,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,3.0,1.0,0.5,0.7,0.5,0.0,0.5
61,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,3.0,1.0,0.5,0.0,0.5,0.0,0.5
62,YCC1101-01-00,대학영어Ⅰ/브룩스잉글리쉬그레고리,4.0,1.0,0.5,0.0,0.5,0.0,0.5
